Año,PIB,FBKF,GID,Desempleo,IDH,FL
2020,30149538.69,7101021.751,16476721.79,8.436,0.815894133,2374216.30
2021,31048809.53,7144913.62,17102810.04,7.892,0.822192055,2398152.88
2022,31906811.06,7433623.777,18107522.08,7.837,0.828364568,2423466.71
2023,32779486.5,7694031.498,18344359.63,7.815,0.83410276,2460331.21
2024,33659935.53,7952547.864,18872772.17,7.643,0.840385272,2499351.64
2025,34584525.99,8268351.797,19490547.18,7.545,0.845940888,2517826.71
2026,35462141.47,8555315.293,20190660.44,7.484,0.851763645,2533147.85
2027,36324942.64,8880538.858,20768553.21,7.39,0.857792379,2557364.57
2028,37178665.89,9195768.463,21322716.28,7.211,0.863848596,2589604.26
2029,38062241.75,9508459.997,21857407.62,7.007,0.869688401,2617666.27
