Año,PIB,FBKF,GID,AB,FL,Desempleo
2009,-0.9705,5.56,0.52,15.74,2.382792219,7.71
2010,4.9519,5.29,0.48,15.64,2.361316003,7.17
2011,4.3071,5.09,0.47,13.57,2.289381349,10.14
2012,4.7969,4.63,0.56,14.37,2.217871269,9.78
2013,2.269,4.81,0.56,13.08,2.15404353,8.77
2014,3.5153,4.5,0.57,12.92,2.151966751,9.06
2015,3.6317,4.54,0.49,13.99,2.187328209,9.00
2016,4.246,4.52,0.54,15.19,2.15082142,8.60
2017,3.3972,4.7,0.56,14.66,2.229906749,8.14
2018,2.664,4.59,0.56,14.51,2.068386951,8.13
2019,3.2125,4.27,0.54,14,2.06636607,8.68
