Año,PIB,FBKF,GID,FL,Desempelo
2009,20371935.21,3702101.29,10599110.45,2121451,7.713
2010,21380725.71,3852733.64,10367941.51,2058929,7.171
2011,22301615.3,4201938.72,10433141.67,2077655,10.139
2012,23371405.92,4814074.27,12995903.98,2142937,9.784
2013,23901709.53,4854378.94,13281462.93,2212031,8.768
2014,24741935.54,5315370.81,14154613.9,2277577,9.059
2015,25640496.19,5451464.65,12465640.03,2279775,8.999
2016,26729189.07,5678940.26,14521090.18,2242919,8.598
2017,27637228.19,5687193.04,15373281.5,2280989,8.142
2018,28373497.72,6015339.36,15838662.17,2200092,8.128
2019,29284990.2,6646325.75,15924982.76,2371897,8.676
