Año,Y en millones,PIB keynesiano,A,K,L,PMK,PMFL,Dif,Y original
2020,30871032.75,30149538.69,0.55,4.18,2374216.3,3.11,32.47,721494.06," $30,871,032.75 "
2021,31372620.82,31048809.53,0.55,4.15,2398152.88,3.11,32.47,323811.29," $31,372,620.82 "
2022,33958889.99,31906811.06,0.57,4.12,2423466.71,3.11,32.47,2052078.92," $33,958,889.99 "
2023,32341505.2,32779486.5,0.56,4.09,2460331.21,3.11,32.47,-437981.3," $32,341,505.20 "
2024,30697392.6,33659935.53,0.56,4,2499351.64,3.11,32.47,-2962542.93," $30,697,392.60 "
2025,30331932.61,34584525.99,0.56,3.95,2517826.71,3.11,32.47,-4252593.38," $30,331,932.61 "
2026,29139772.8,35462141.47,0.57,3.85,2533147.85,3.11,32.47,-6322368.67," $29,139,772.80 "
2027,27579757.65,36324942.64,0.57,3.76,2557364.57,3.11,32.47,-8745184.99," $27,579,757.65 "
2028,25885692.46,37178665.89,0.57,3.66,2589604.26,3.11,32.47,-11292973.43," $25,885,692.46 "
2029,25146110.67,38062241.75,0.57,3.61,2617666.27,3.11,32.47,-12916131.08," $25,146,110.67 "
